CPU,Memory,Disk,DiskType,InnoDB,Warehouse,Connections,TpmC,price per month,cost performance ratio,Load Avg Utl,Run Avg Utl,System,Platform,Region,Zone,Provider,IdleL,IdleR
2,7.5,10,0,1024,5,10,7139,48.94,0.0069,56.1,97.6,B,GCP,Iowa,us-central1-a,Google,43.9,2.4
4,15,10,0,16,5,10,800,97.49,0.1219,29.3,11.5,C,GCP,Iowa,us-central1-a,Google,70.7,88.5
4,15,10,0,32,5,10,1111,97.49,0.0877,28.9,13.8,C,GCP,Iowa,us-central1-a,Google,71.1,86.2
4,15,10,0,64,5,10,1782,97.49,0.0547,28.8,19.3,C,GCP,Iowa,us-central1-a,Google,71.2,80.7
4,15,10,0,128,5,10,3501,97.49,0.0278,29.1,37.7,C,GCP,Iowa,us-central1-a,Google,70.9,62.3
4,15,10,0,256,5,10,8255,97.49,0.0118,28.2,77.2,C,GCP,Iowa,us-central1-a,Google,71.8,22.8
4,15,10,0,512,5,10,14090,97.49,0.0069,27.3,93.4,C,GCP,Iowa,us-central1-a,Google,72.7,6.6
4,15,10,0,1024,5,10,14513,97.49,0.0067,28.4,94.9,C,GCP,Iowa,us-central1-a,Google,71.6,5.1
16,60,10,0,16,5,10,766,388.76,0.5075,7.3,2.7,F,GCP,Iowa,us-central1-a,Google,92.7,97.3
16,60,10,0,32,5,10,1096,388.76,0.3547,7.1,3.6,F,GCP,Iowa,us-central1-a,Google,92.9,96.4
16,60,10,0,64,5,10,1759,388.76,0.221,6.9,5.1,F,GCP,Iowa,us-central1-a,Google,93.1,94.9
16,60,10,0,128,5,10,3499,388.76,0.1111,6.8,8.8,F,GCP,Iowa,us-central1-a,Google,93.2,91.2
16,60,10,0,256,5,10,8865,388.76,0.0439,7.7,21.2,F,GCP,Iowa,us-central1-a,Google,92.3,78.8
16,60,10,0,512,5,10,30810,388.76,0.0126,7.2,48.3,F,GCP,Iowa,us-central1-a,Google,92.8,51.7
16,60,10,0,1024,5,10,29700,388.76,0.0131,7.8,46.7,F,GCP,Iowa,us-central1-a,Google,92.2,53.3
8,30,10,0,16,1,10,1552,194.58,0.1254,14.3,7.8,D,GCP,Iowa,us-central1-a,Google,85.7,92.2
8,30,10,0,32,1,10,3473,194.58,0.056,14.9,13.9,D,GCP,Iowa,us-central1-a,Google,85.1,86.1
8,30,10,0,64,1,10,10560,194.58,0.0184,15.2,36.1,D,GCP,Iowa,us-central1-a,Google,84.8,63.9
8,30,10,0,128,1,10,19623,194.58,0.0099,13.8,61.2,D,GCP,Iowa,us-central1-a,Google,86.2,38.8
8,30,10,0,256,1,10,20278,194.58,0.0096,14.5,64.8,D,GCP,Iowa,us-central1-a,Google,85.5,35.2
8,30,10,0,512,1,10,19874,194.58,0.0098,14.1,63.5,D,GCP,Iowa,us-central1-a,Google,85.9,36.5
8,30,10,0,1024,1,10,19963,194.58,0.0097,14.7,65.2,D,GCP,Iowa,us-central1-a,Google,85.3,34.8
8,30,500,0,16,1,10,3438,214.18,0.0623,14.8,24.2,D,GCP,Iowa,us-central1-a,Google,85.2,75.8
8,30,500,0,32,1,10,7888,214.18,0.0272,14.3,38.6,D,GCP,Iowa,us-central1-a,Google,85.7,61.4
8,30,500,0,64,1,10,13266,214.18,0.0161,14.6,56.7,D,GCP,Iowa,us-central1-a,Google,85.4,43.3
8,30,500,0,128,1,10,16678,214.18,0.0128,13.8,63.2,D,GCP,Iowa,us-central1-a,Google,86.2,36.8
8,30,500,0,256,1,10,17118,214.18,0.0125,15.1,63.5,D,GCP,Iowa,us-central1-a,Google,84.9,36.5
8,30,500,0,512,1,10,17513,214.18,0.0122,14.9,64.3,D,GCP,Iowa,us-central1-a,Google,85.1,35.7
8,30,500,0,1024,1,10,17693,214.18,0.0121,14.3,64.7,D,GCP,Iowa,us-central1-a,Google,85.7,35.3
8,30,10,0,16,5,10,880,194.58,0.2211,14.1,5.8,D,GCP,Iowa,us-central1-a,Google,85.9,94.2
